"id" "lat" "long" "name" "date"
"1" 3050 39.953388 -75.154259 "9th & Arch" "2015-04-23"
"2" 3066 39.94561 -75.173477 "19th & Lombard" "2015-04-23"
"3" 3072 39.934448 -75.145409 "Front & Carpenter" "2015-04-23"
"4" 3059 39.96265 -75.161743 "Spring Garden Station, BSL" "2015-04-23"
"5" 3010 39.947109 -75.166183 "15th & Spruce" "2015-04-23"
"6" 3023 39.950481 -75.172859 "Rittenhouse Square" "2015-04-23"
"7" 3057 39.96442 -75.179993 "Philadelphia Museum of Art" "2015-04-23"
"8" 3007 39.945171 -75.159927 "11th & Pine, Kahn Park" "2015-04-23"
"9" 3108 39.953159 -75.165512 "15th & Market" "2016-05-04"
"10" 3101 39.942951 -75.159554 "11th & South" "2016-05-02"
"11" 3060 39.959229 -75.170357 "Free Library of Philadelphia - Central Library" "2015-04-23"
"12" 3053 39.932308 -75.181541 "Point Breeze & Tasker" "2015-04-23"
"13" 3039 39.97121 -75.159698 "Broad & Girard" "2015-04-23"
"14" 3004 39.953781 -75.163742 "Municipal Services Building Plaza" "2015-04-23"
"15" 3051 39.967442 -75.175072 "23rd & Fairmount" "2015-04-23"
"16" 3005 39.94733 -75.144028 "Welcome Park, NPS" "2015-04-23"
"17" 3024 39.948219 -75.209084 "43rd & Chester, Clark Park" "2015-04-23"
"18" 3063 39.946331 -75.1698 "17th & Pine" "2015-04-23"
"19" 3033 39.95005 -75.156723 "10th & Chestnut" "2015-04-23"
"20" 3018 39.952728 -75.15979 "12th & Filbert" "2015-04-29"
"21" 3052 39.947319 -75.156952 "9th & Locust" "2015-04-23"
"22" 3016 39.968922 -75.154701 "11th & Poplar, John F. Street Community Center" "2015-04-23"
"23" 3065 39.970699 -75.151711 "Girard & Hutchinson" "2015-04-23"
"24" 3031 39.980049 -75.15522 "13th & Montgomery" "2015-04-23"
"25" 3098 39.934311 -75.160423 "10th & Federal" "2016-05-02"
"26" 3037 39.954239 -75.161377 "Pennsylvania Convention Center" "2015-04-29"
"27" 3058 39.967159 -75.170013 "20th & Fairmount" "2015-04-23"
"28" 3110 39.96175 -75.136414 "Del. River Trail & Penn St." "2016-05-04"
"29" 3021 39.953899 -75.169022 "18th & JFK" "2015-04-23"
"30" 3055 39.951118 -75.154572 "8th & Market" "2015-04-28"
"31" 3020 39.948872 -75.189857 "University City Station" "2015-04-23"
"32" 3125 39.943909 -75.167351 "15th & South" "2016-04-08"
"33" 3061 39.95425 -75.177612 "23rd & Market" "2015-04-23"
"34" 3041 39.968491 -75.13546 "Girard Station, MFL" "2015-04-23"
"35" 3056 39.976688 -75.158127 "Broad & Oxford" "2015-04-23"
"36" 3073 39.96143 -75.15242 "9th & Spring Garden" "2015-04-28"
"37" 3009 39.955761 -75.189819 "33rd & Market" "2015-04-23"
"38" 3043 39.93082 -75.174744 "18th & Fernon, Aquinas Center" "2015-04-23"
"39" 3045 39.947922 -75.162369 "13th & Locust" "2015-04-28"
"40" 3028 39.940609 -75.149582 "4th & Bainbridge" "2015-04-23"
"41" 3011 39.960461 -75.197006 "38th & Lancaster" "2015-04-23"
"42" 3100 39.927769 -75.151031 "Moyamensing & Tasker" "2016-05-02"
"43" 3025 39.937241 -75.161201 "11th & Washington" "2015-04-23"
"44" 3070 39.960621 -75.139832 "Spring Garden Station, MFL" "2015-04-29"
"45" 3093 39.988369 -75.187012 "33rd & Diamond" "2016-04-28"
"46" 3026 39.94138 -75.145638 "2nd & South" "2015-04-23"
"47" 3008 39.980782 -75.150551 "Temple University Station" "2015-04-23"
"48" 3074 39.955109 -75.209869 "44th & Walnut" "2015-04-28"
"49" 3054 39.962502 -75.174202 "Rodin Museum" "2015-04-23"
"50" 3068 39.93549 -75.167107 "Broad & Federal" "2015-04-23"
"51" 3111 39.978039 -75.212196 "Parkside & Belmont, Case Buildling" "2016-05-05"
"52" 3046 39.950119 -75.144722 "2nd & Market" "2015-04-23"
"53" 3012 39.942181 -75.177467 "21st & Catharine" "2015-04-23"
"54" 3102 39.968182 -75.180344 "26th & Pennsylvania" "2016-05-03"
"55" 3062 39.951969 -75.179428 "24th & Sansom" "2015-04-23"
"56" 3069 39.937038 -75.150383 "4th & Christian" "2015-04-23"
"57" 3112 39.953732 -75.218246 "48th & Spruce" "2016-05-05"
"58" 3035 39.962711 -75.194191 "Dornsife Center" "2015-07-31"
"59" 3121 39.97274 -75.17939 "26th & Poplar" "2016-04-26"
"60" 3027 39.957081 -75.201767 "40th Street Station, MFL" "2015-04-23"
"61" 3109 39.974861 -75.205238 "Parkside & Girard" "2016-05-06"
